Type: Psr
Nist error rate model
SNR PER
9.89907 0
9.48666 0
9.09685 0
8.7281 0
8.37902 0
8.04831 0
7.73478 0
7.43732 0
7.15492 0
6.88664 8.20655e-12
6.6316 3.28262e-11
6.38901 1.14892e-10
6.1581 3.89811e-10
5.93819 1.27201e-09
5.72863 3.92683e-09
5.52881 1.15384e-08
5.33818 3.23543e-08
5.15621 8.68212e-08
4.98242 2.23468e-07
4.81636 5.52986e-07
4.65759 1.31851e-06
4.50572 3.03535e-06
4.36039 6.75974e-06
4.22124 1.45891e-05
4.08794 3.05664e-05
3.96021 6.2269e-05
3.83773 0.000123527
3.72026 0.000238964
3.60753 0.000451395
3.49931 0.000833637
3.39538 0.00150693
3.29552 0.00266911
3.19954 0.00463668
3.10725 0.00790613
3.01848 0.0132407
2.93306 0.0217876
2.85083 0.0352279
2.77164 0.055945
2.69536 0.0871721
2.62186 0.133016
2.551 0.198156
2.48267 0.286889
2.41677 0.401136
2.35317 0.537332
2.29179 0.683245
2.23252 0.817872
2.17528 0.918572
2.11998 0.974662
2.06653 0.995323
2.01487 0.999594
1.96492 0.999988
1.9166 1
1.86986 1
1.82462 1
1.78083 1
1.73844 1
1.69737 1
1.65759 1
1.61904 1
1.58168 1
1.54546 1
1.51034 1
1.47627 1
1.44322 1
1.41115 1
1.38003 1
1.34981 1
1.32046 1
1.29197 1
1.26428 1
1.23738 1
1.21124 1
1.18583 1
1.16113 1
1.13711 1
1.11374 1
1.09101 1
1.0689 1
1.04738 1
1.02643 1
1.00604 1
0.986183 1
0.966847 1
0.948013 1
0.929665 1
0.911787 1
0.894365 1
0.877384 1
0.86083 1
0.84469 1
0.82895 1
0.8136 1
0.798626 1
0.784017 1
0.769763 1
0.755852 1
0.742274 1
0.729019 1
0.716079 1
0.703442 1
0.691101 1
0.679048 1
0.667272 1
0.655768 1
0.644526 1
0.63354 1
